groupid,Group Name,Product Type,Product Color,Product Condition,Component Type,Included Products,groupsize,idingroup,strippedname,name,sku,platform,ASIN,matching_likelihood,matching_method,ParentProduct,SKU_Role,source_asin,source_sku,source_title,merge_source,merge_match_type
3,Bose 201 Series IV,Product,BK,,,,5,4,Bose 201 Series IV Bookshelf Speakers,Bose 201 Series IV Bookshelf Speakers -  Black,267227846481,DRAGON_eBay,,0.92,threshold,Speaker,P,B00006HO4Y,267227846481,Bose 201 Series IV,amazon_only,
4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,BK,,Wall Brackets,,4,0,Bose WB-3 Bookshelf Speaker Wall Brackets,Bose® WB-3 Bookshelf Speaker Wall Brackets (Pair)  Black,5S-B45M-RI3Q,Amazon,B00006HO59,100.0,stripped_name,Speaker,A,B00006HO59,5S-B45M-RI3Q,Bose� WB-3 Bookshelf Speaker Wall Brackets (Pair) � Black,amazon_only,
4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,BK,,Wall Brackets,,4,1,Bose WB-3 Bookshelf Speaker Wall Brackets,Bose® WB-3 Bookshelf Speaker Wall Brackets (Pair)  Black,8T-A56R-1KHI,Amazon,B00006HO59,100.0,stripped_name,Speaker,A,B00006HO59,8T-A56R-1KHI,Bose� WB-3 Bookshelf Speaker Wall Brackets (Pair) � Black,amazon_only,
4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,BK,,Wall Brackets,,4,2,Bose WB-3 Bookshelf Speaker Wall Brackets,Bose® WB-3 Bookshelf Speaker Wall Brackets (Pair)  Black,JR-C9N0-US6W,Amazon,B00006HO59,100.0,stripped_name,Speaker,A,B00006HO59,JR-C9N0-US6W,Bose� WB-3 Bookshelf Speaker Wall Brackets (Pair) � Black,amazon_only,
4,Bose WB-3 Bookshelf Speaker Wall Brackets (Pair),Parts,,,Wall Brackets,,4,3,WB-3 Bookshelf Speaker Wall Brackets for Bose 201 and 301 Speakers,WB-3 Bookshelf Speaker Wall Brackets (Pair)  for Bose 201 and 301  Speakers,267235687031,DRAGON_eBay,,0.83,threshold,Speaker,A,B00006HO59,267235687031,Bose� WB-3 Bookshelf Speaker Wall Brackets (Pair) � Black,amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,WH,,,,16,0,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets - White,00840,Ecwid,,100.0,stripped_name,Environmental Speaker,P,B00006I539,00840,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,1,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),22-ZADD-U0F6,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,22-ZADD-U0F6,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,2,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),3I-6PZF-KYE1,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,3I-6PZF-KYE1,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,3,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),3V-OW2E-LOA9,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,3V-OW2E-LOA9,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,4,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),DZ-VPKS-TNHV,Amazon,B00006I539,100.0,stripped_name,Speaker,K,B00006I539,DZ-VPKS-TNHV,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,5,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),H2-XEVW-ZDV0,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,H2-XEVW-ZDV0,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,6,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),IF-UI8G-9BWC,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,IF-UI8G-9BWC,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,7,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),J4-QVJP-GXO0,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,J4-QVJP-GXO0,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,8,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),PG-K9QT-PT7K,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,PG-K9QT-PT7K,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,9,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),QX-HY65-52IN,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,QX-HY65-52IN,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,10,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),RD-Y5DR-4L94,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,RD-Y5DR-4L94,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,11,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),TL-6BLE-BF1B,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,TL-6BLE-BF1B,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,12,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),XT-21G6-GU8O,Amazon,B00006I539,100.0,stripped_name,Speaker,P,B00006I539,XT-21G6-GU8O,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,13,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),157375974862,MEKONG_eBay,,100.0,stripped_name,Speaker,P,B00006I539,157375974862,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,,,,,16,14,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets,00840-BL,Ecwid,,100.0,stripped_name,Speaker,K,B00006I539,00840-BL,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
5,Bose 151 Environmental Speaker Pair,Product,BK,,,,16,15,Bose 151 Environmental Speaker with Brackets,Bose 151 Environmental Speaker Pair with Brackets (Black),00840-B,Ecwid,,100.0,stripped_name,Speaker,P,B00006I539,00840-B,Bose 151 Environmental Speaker Pair with Brackets (Black),amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,BK,,,,7,0,Bose 201-V Stereo Loudspeakers,Bose 201-V Stereo Loudspeakers (Pair) - Black,BB-RLRZ-J0GE,Amazon,B00006L7RT,100.0,stripped_name,Speaker,P,B00006L7RT,BB-RLRZ-J0GE,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,BK,,,,7,1,Bose 201-V Stereo Loudspeakers,Bose 201-V Stereo Loudspeakers (Pair) - Black,TS-RWM9-U75O,Amazon,B00006L7RT,100.0,stripped_name,Speaker,P,B00006L7RT,TS-RWM9-U75O,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,BK,,,,7,2,Bose 201-V Stereo Loudspeakers,Bose 201-V Stereo Loudspeakers (Pair) - Black,1T-QXW6-SIGH,Amazon,B00006L7RT,100.0,stripped_name,Speaker,P,B00006L7RT,1T-QXW6-SIGH,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,BK,,,,7,3,Bose 201-V Stereo Loudspeakers,Bose 201-V Stereo Loudspeakers (Pair) - Black,HO-9EQJ-40R4,Amazon,B00006L7RT,100.0,stripped_name,Speaker,P,B00006L7RT,HO-9EQJ-40R4,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,,,,,7,4,BOSE 201-V Stereo Loudspeakers,BOSE 201-V Stereo Loudspeakers Pair,267459020324,DRAGON_eBay,,100.0,stripped_name,Speaker,P,B00006L7RT,267459020324,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,,,,,7,5,BOSE 201-V Stereo Loudspeakers,BOSE 201-V Stereo Loudspeakers (Pair),01257,Ecwid,,100.0,stripped_name,Speaker,P,B00006L7RT,01257,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
6,Bose 201-V Stereo Loudspeakers,Product,CH,,,,7,6,Bose 201-V Stereo Loudspeakers Cherry,Bose 201-V Stereo Loudspeakers (Pair) - Cherry,T2-ENP1-0DEE,Amazon,B00006L7RU,1.06,threshold,Speaker,P,B00006L7RT,T2-ENP1-0DEE,Bose 201-V Stereo Loudspeakers (Pair) - Black,amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,0,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),0V-67IY-8A9E,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,0V-67IY-8A9E,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,1,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),8F-VBG0-DB0S,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,8F-VBG0-DB0S,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,2,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),B1-Y7L8-QEMI,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,B1-Y7L8-QEMI,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,3,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),C7-63RX-1CO8,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,C7-63RX-1CO8,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,4,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),L0-YRJ2-E5WE,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,L0-YRJ2-E5WE,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,5,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),PJ-TZRB-10VJ,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,PJ-TZRB-10VJ,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,6,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),PT-D051-M7LE,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,PT-D051-M7LE,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,7,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),8K-PJTL-U9GG,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,8K-PJTL-U9GG,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,8,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),PX-J7AV-6HPR,Amazon,B00007AJ8B,100.0,stripped_name,Speaker,P,B00007AJ8B,PX-J7AV-6HPR,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,9,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair - White,267459010323,DRAGON_eBay,,100.0,stripped_name,Speaker,P,B00007AJ8B,267459010323,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,10,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),157309014481,MEKONG_eBay,,100.0,stripped_name,Speaker,P,B00007AJ8B,157309014481,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
7,Bose 151 Indoor/Outdoor Speaker Pair,Product,WH,,,,12,11,Bose 151 Indoor Outdoor Speaker,Bose 151 Indoor/Outdoor Speaker Pair (White),00840-W,Ecwid,,100.0,stripped_name,Speaker,P,B00007AJ8B,00840-W,Bose 151 Indoor/Outdoor Speaker Pair (White),amazon_only,
8,Bose FS-1 Bookshelf Speaker Floorstands,Product,BK,,,,1,0,Bose FS-1 Bookshelf Speaker floorstands and,Bose® FS-1 Bookshelf Speaker floorstands (Pair)  Black and Silver,ZA-ZP6T-KO8Q,Amazon,B0000E6GHH,100.0,stripped_name,Speaker,A,B0000E6GHH,ZA-ZP6T-KO8Q,Bose� FS-1 Bookshelf Speaker floorstands (Pair) � Black and Silver,amazon_only,
9,Bose Companion 3 Multimedia Speaker System,Product,GY,,,,7,0,Bose Companion 3 Multimedia Speaker System,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,2G-AY3S-LW4C,Amazon,B00011CNWG,100.0,stripped_name,Speaker System,K,B00011CNWG,2G-AY3S-LW4C,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,amazon_only,
9,Bose Companion 3 Multimedia Speaker System,Product,GY,,,,7,1,Bose Companion 3 Multimedia Speaker System,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,IK-N95G-0PPN,Amazon,B00011CNWG,100.0,stripped_name,Speaker System,K,B00011CNWG,IK-N95G-0PPN,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,amazon_only,
9,Bose Companion 3 Multimedia Speaker System,Product,GY,,,,7,2,Bose Companion 3 Multimedia Speaker System,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,JB-CKCP-YORR,Amazon,B00011CNWG,100.0,stripped_name,Speaker System,K,B00011CNWG,JB-CKCP-YORR,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,amazon_only,
9,Bose Companion 3 Multimedia Speaker System,Product,GY,,,,7,3,Bose Companion 3 Multimedia Speaker System,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,UV-D72W-9ZG9,Amazon,B00011CNWG,100.0,stripped_name,Speaker System,K,B00011CNWG,UV-D72W-9ZG9,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,amazon_only,
9,Bose Companion 3 Multimedia Speaker System,Product,GY,,,,7,4,Bose Companion 3 Multimedia Speaker System,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,WR-N0HV-8BO8,Amazon,B00011CNWG,100.0,stripped_name,Speaker System,K,B00011CNWG,WR-N0HV-8BO8,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,amazon_only,
9,Bose Companion 3 Multimedia Speaker System,Product,GY,,,,7,5,Bose Companion 3 Multimedia Speaker System,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,257184468271,DRAGON_eBay,,100.0,stripped_name,Speaker System,K,B00011CNWG,257184468271,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,amazon_only,
9,Bose Companion 3 Multimedia Speaker System,Product,GY,,,,7,6,Bose Companion 3 Multimedia Speaker System,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,00983,Ecwid,,100.0,stripped_name,Speaker System,K,B00011CNWG,00983,Bose Companion 3 Multimedia Speaker System - Graphite / Silver,amazon_only,
10,Bose Wave Audio System Radio/CD,Product,GY,,,,7,0,Bose Wave Audio System Radio Cd,Bose Wave - Audio System - Radio / Cd - Graphite Gray,CH-J58C-STS8,Amazon,B00021Y9N6,100.0,stripped_name,Audio System,P,B00021Y9N6,CH-J58C-STS8,Bose Wave - Audio System - Radio / Cd - Graphite Gray,amazon_only,
10,Bose Wave Audio System Radio/CD,Product,GY,,,,7,1,Bose Wave Audio System Radio Cd,Bose Wave - Audio System - Radio / Cd - Graphite Gray,J3-6I5X-FUDU,Amazon,B00021Y9N6,100.0,stripped_name,Audio System,K,B00021Y9N6,J3-6I5X-FUDU,Bose Wave - Audio System - Radio / Cd - Graphite Gray,amazon_only,
10,Bose Wave Audio System Radio/CD,Product,GY,,,,7,2,Bose Wave Audio System Radio Cd,Bose Wave - Audio System - Radio/Cd - Graphite Gray,267453838780,DRAGON_eBay,,100.0,stripped_name,Audio System,P,B00021Y9N6,267453838780,Bose Wave - Audio System - Radio / Cd - Graphite Gray,amazon_only,
10,Bose Wave Audio System Radio/CD,Product,GY,,,,7,3,Bose Wave Audio System Radio Cd,Bose Wave - Audio System - Radio/Cd - Graphite Gray,04886,Ecwid,,100.0,stripped_name,Audio System,K,B00021Y9N6,04886,Bose Wave - Audio System - Radio / Cd - Graphite Gray,amazon_only,
10,Bose Wave Audio System Radio/CD,Bundle,GY,,,"Bose Wave Audio System Radio/CD, Remote Control",7,4,Bose Wave Audio System Radio Cd with control,Bose Wave - Audio System - Radio / Cd - Graphite Gray -  with remote control,364273040815,USAV_eBay,,0.98,threshold,Audio System,K,B00021Y9N6,364273040815,Bose Wave - Audio System - Radio / Cd - Graphite Gray,amazon_only,
10,Bose Wave Audio System Radio/CD,Product,GY,,,,7,5,Bose Wave Audio System Radio Cd,Bose Wave - Audio System - Radio / Cd - Graphite Gray,6Z-702H-VZIQ,Amazon,B00021Y9N6,100.0,stripped_name,System,K,B00021Y9N6,6Z-702H-VZIQ,Bose Wave - Audio System - Radio / Cd - Graphite Gray,amazon_only,
10,Bose Wave Audio System Radio/CD,Product,GY,,,,7,6,Bose Wave Audio System Radio Cd B00021Y9N6,Bose Wave - Audio System - Radio / Cd - Graphite Gray  B00021Y9N6,267422994690,DRAGON_eBay,,1.07,threshold,System,K,B00021Y9N6,267422994690,Bose Wave - Audio System - Radio / Cd - Graphite Gray,amazon_only,
11,Bose Lifestyle 38 DVD Home Entertainment System,Product,,,,,3,0,Bose R Lifestyle 38 DVD Home Entertainment System,Bose(R) Lifestyle 38 DVD Home Entertainment System,1X-GPD5-TMWA,Amazon,B0002F94UA,100.0,stripped_name,Home Entertainment System,K,B0002F94UA,1X-GPD5-TMWA,Bose(R) Lifestyle 38 DVD Home Entertainment System,amazon_only,
11,Bose Lifestyle 38 DVD Home Entertainment System,Product,,,,,3,1,Bose R Lifestyle 38 DVD Home Entertainment System,Bose(R) Lifestyle 38 DVD Home Entertainment System,3L-PHG1-XUQX,Amazon,B0002F94U0,100.0,stripped_name,Home Entertainment System,K,B0002F94UA,3L-PHG1-XUQX,Bose(R) Lifestyle 38 DVD Home Entertainment System,amazon_only,
11,Bose Lifestyle 38 DVD Home Entertainment System,Bundle,,,,"Bose Lifestyle 38 DVD Home Entertainment System, Speakers, Remote Control",3,2,Bose Lifestyle 38 DVD Home Entertainment System w 5 Speakers,Bose Lifestyle 38 DVD Home Entertainment System w/ 5 Speakers & Remote,267453897657,DRAGON_eBay,,1.02,threshold,Home Entertainment System,K,B0002F94UA,267453897657,Bose(R) Lifestyle 38 DVD Home Entertainment System,amazon_only,
12,Bose Lifestyle SA-2 Amplifier,Product,,,,,4,0,Lifestyle SA-2 Amplifier,Lifestyle SA-2 Amplifier,G5-KIVB-FN7C,Amazon,B0002JUH34,100.0,stripped_name,Amplifier,P,B0002JUH34,G5-KIVB-FN7C,Lifestyle SA-2 Amplifier,amazon_only,
12,Bose Lifestyle SA-2 Amplifier,Product,,,,,4,1,Bose Lifestyle SA-2 amplifier,Bose Lifestyle SA-2 amplifier,265770328489,DRAGON_eBay,,1.22,threshold,Amplifier,P,B0002JUH34,265770328489,Lifestyle SA-2 Amplifier,amazon_only,
12,Bose Lifestyle SA-2 Amplifier,Product,,,,,4,2,Bose Lifestyle SA-2 amplifier,Bose Lifestyle SA-2 amplifier,00964,Ecwid,,1.22,threshold,Amplifier,P,B0002JUH34,00964,Lifestyle SA-2 Amplifier,amazon_only,
12,Bose Lifestyle SA-2 Amplifier,Bundle,,,,"Bose Lifestyle SA-2 amplifier, Bose Link Cable",4,3,Bose Lifestyle SA-2 amplifier with Bose Link,Bose Lifestyle SA-2 amplifier with Bose Link Cable,266213923136,DRAGON_eBay,,0.9,threshold,Amplifier,P,B0002JUH34,266213923136,Lifestyle SA-2 Amplifier,amazon_only,
13,Bose 321 GS Series II DVD Home Entertainment System,Product,SV,,,,7,0,Bose R 321 GS Series II DVD Home Entertainment System,Bose(R) 321 GS Series II DVD Home Entertainment System - Silver,HK0-3AK-Y7D,Amazon,B0002JY6SQ,100.0,stripped_name,DVD Home Entertainment System,K,B0002JY6SG,HK0-3AK-Y7D,Bose(R) 321 GS Series II DVD Home Entertainment System - Graphite,amazon_only,
